cover,pages,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Board Book,36,1996,4.25,9226,4928,2328,1461,365,144,1
Paperback,64,2002,4.02,9186,3119,3485,2233,310,39,1
Hardcover,104,2013,4,9126,3414,3205,1855,403,249,0
Paperback,258,1988,3.98,9121,3158,3215,2245,407,96,0
Hardcover,64,2007,4.36,9120,5093,2616,1114,222,75,1
Paperback,563,2011,4.5,9096,6605,1242,717,273,259,1
Paperback,208,2007,3.9299999999999997,9039,3288,2877,2039,592,243,0
Hardcover,32,2005,3.87,9022,3157,2812,2088,685,280,0
Paperback,212,2000,3.9899999999999998,9009,3418,3001,1893,471,226,0
Hardcover,32,1993,4.31,8959,4927,2454,1178,266,134,1
Hardcover,224,2012,4.23,8947,4566,2577,1283,346,175,1
Paperback,124,2001,4.1899999999999995,8895,4045,3006,1458,273,113,1
Paperback,24,2001,4.24,8893,4701,2134,1650,306,102,1
Hardcover,32,1996,4.06,8879,3846,2375,2114,429,115,1
Paperback,256,2007,3.7,8849,2590,2465,2649,871,274,0
Hardcover,32,2003,4.03,8823,3638,2639,1905,466,175,1
Paperback,181,1999,3.8699999999999997,8624,2467,3233,2350,452,122,0
Paperback,289,1994,4.05,8615,3267,3070,1855,321,102,1
Paperback,32,2001,4.4,8589,5007,2335,973,189,85,1
Hardcover,72,1998,4.26,8553,4636,2153,1310,289,165,1
Paperback,32,1995,4.34,8548,5029,1829,1339,261,90,1
Paperback,98,2004,4.3,8513,4333,2714,1231,196,39,1
Paperback,144,2002,4.35,8509,4459,2795,1041,162,52,1
Paperback,64,2003,3.87,8507,2795,2647,2397,538,130,0
Hardcover,160,2008,3.92,8472,2818,2816,2285,430,123,0
Paperback,160,2015,3.92,8464,2815,2814,2282,429,124,0
Hardcover,177,2002,4.1499999999999995,8457,3742,2893,1391,242,189,1
Paperback,32,1991,4.18,8428,4060,2417,1462,350,139,1
Paperback,32,1995,4.42,8416,5167,1994,971,193,91,1
Hardcover,40,2004,4.28,8403,4347,2460,1285,206,105,1
Paperback,224,2011,4.4,8382,5340,1670,945,256,171,1
Hardcover,96,2015,4.119999999999999,8380,3851,2382,1565,431,151,1
Hardcover,48,2012,3.96,8351,3040,2775,1879,465,192,0
Paperback,288,1989,4.52,8340,5269,2289,679,84,19,1
Paperback,32,1996,4.12,8334,3740,2524,1546,391,133,1
Paperback,62,2002,3.9699999999999998,8333,2880,2913,2054,423,63,0
Paperback,192,2002,4.02,8303,3317,2621,1756,430,179,1
Hardcover,40,2005,4.26,8302,4208,2472,1250,281,91,1
Hardcover,176,2013,4.119999999999999,8288,3599,2682,1536,334,137,1
Paperback,32,2007,4.26,8261,4578,1966,1177,341,199,1
Hardcover,48,2000,4.05,8258,3743,1936,1921,531,127,1
Paperback,80,1977,4.24,8250,4333,2013,1557,272,75,1
Hardcover,32,2003,4.21,8248,4038,2379,1434,309,88,1
Hardcover,58,2002,4.08,8208,3408,2527,1862,324,87,1
Hardcover,32,2003,4.109999999999999,8207,3604,2474,1685,354,90,1
Hardcover,96,2008,4.319999999999999,8151,4216,2654,1024,185,72,1
Hardcover,288,1968,4.23,8149,4246,2122,1361,259,161,1
